Unique_Tag,Tree,Distance,Transect,Tag,Species_23,X,Y,ST_21,HT_21,Notes_21,Sumbission.Id_2021,ST_22,HT_22,Notes_2022,Quad_Notes_2022,Submission.Id_2023,Status_2022,Height_2022,Notes_22,ST_23,HT_23,Notes_2023
070864_240_6.121,70864,6,240,121,TSUCAN,22,43,P,NA,NA,NA,A,3,NA,d8af8a78-0c61-41f0-8d3c-38d0c69351eb,b3b2b9f6-8a12-40bd-84f3-4f4a90ea86d8,A,3,NA,D,NA,NA
051094_240_2.88,51094,2,240,88,TSUCAN,20,4,A,3,NA,f61f5b6c-ec98-4a93-95cb-c493a8082c7d,A,3,NA,81b8d566-0627-48fd-85aa-fa4efb7c5d1e,7a8fb7a1-45ba-4e0b-a4f7-a064ea3d4aad,A,3,NA,D,NA,NA
091128_120_6.106,91128,6,120,106,TSUCAN,20,20,P,NA,NA,NA,A,3,NA,fe86ed45-584a-4bfd-9c96-bd3b1079ac3b,1a25072c-9580-444d-8792-c53c912286cf,A,3,NA,A,4,NA
051094_0_2.23,51094,2,0,23,TSUCAN,19,74,A,4,NA,13523dcd-1bc9-456b-bebe-3baf6acfd919,A,3,NA,4fe1c4c3-da4f-437a-9e7d-e2443254922f,903cb34f-3a4a-4b35-83bf-533c36bbd1c5,A,3,NA,D,NA,NA
191191_240_2.10,191191,2,240,10,TSUCAN,18,22,A,3,NA,5ad395ef-2559-4699-9fc7-34439a0d6e95,A,3,NA,951ab20d-6c3d-4f5d-a5ed-3b0b491320cd,bca2c2b6-a37c-41a6-b992-5f51b29fd0a7,A,3,NA,A,3,NA
050958_120_2.30,50958,2,120,30,TSUCAN,17,22,A,3,NA,c790d48a-ecaa-4668-a454-c8c57ab8c476,A,3,No tag,6fe59555-ca96-4684-9961-1e4cf6944b5e,a842e346-4384-48f3-8da9-41b2548b9093,A,3,No tag,D,NA,NA
072007_120_2.202,72007,2,120,202,TSUCAN,15,22,P,NA,NA,NA,A,3,"No tag, too small",42c53222-121c-4117-a0cb-ddd76905e6ac,bfb350ad-6e87-467a-bc96-36586797607e,A,3,"No tag, too small",CFS,NA,NA
051094_240_2.103,51094,2,240,103,BETSP,11,14,P,NA,NA,NA,A,3,NA,81b8d566-0627-48fd-85aa-fa4efb7c5d1e,7a8fb7a1-45ba-4e0b-a4f7-a064ea3d4aad,A,3,NA,D,NA,NA
191191_240_6.90,191191,6,240,90,TSUCAN,10,58,A,3,NA,08038d8d-dfee-4c81-b587-1693a87d6401,A,3,NA,275d9666-cfc4-475e-90f4-4264e3b072fb,fbc13b86-74e1-4f94-96c9-4bbb15937168,A,3,NA,D,NA,NA
061110_120_6.101,61110,6,120,101,TSUCAN,9,11,P,NA,NA,NA,A,3,NA,a463638e-5ee6-48c1-95b9-78d17feb2e12,1104023f-5540-43b2-8915-f4d3e60d63be,A,3,NA,D,NA,NA
