"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"417",0,Inf,NA,NA,4,1,42
"418",1,1000,21,22.5,4,2,42
"419",0,Inf,NA,NA,5,1,42
"420",1,1000,34,43,5,2,42
"421",0,Inf,NA,NA,1,1,43
"422",4,250,18,38,1,2,43
"423",10,100,13,21,2,1,43
"424",172,5.81395348837209,10,30,2,2,43
"425",1,1000,23,25.5,3,1,43
"426",14,71.4285714285714,18,26.5,3,2,43
"427",0,Inf,NA,NA,4,1,43
"428",0,Inf,NA,NA,4,2,43
"429",0,Inf,NA,NA,5,1,43
"430",1,1000,48,49,5,2,43
"431",0,Inf,NA,NA,1,1,44
"432",4,250,19,42,1,2,44
"433",4,250,13,17,2,1,44
"434",125,8,13,29,2,2,44
"435",0,Inf,NA,NA,3,1,44
"436",24,41.6666666666667,15,26,3,2,44
"437",0,Inf,NA,NA,4,1,44
"438",4,250,13,23,4,2,44
"439",0,Inf,NA,NA,5,1,44
"440",2,500,32,42,5,2,44
"441",0,Inf,NA,NA,1,1,45
"442",3,333.333333333333,21,48,1,2,45
"443",8,125,15,23,2,1,45
"444",142,7.04225352112676,12,27,2,2,45
"445",1,1000,37,38,3,1,45
"446",12,83.3333333333333,17,24,3,2,45
"447",0,Inf,NA,NA,4,1,45
"448",2,500,17,18,4,2,45
"449",0,Inf,NA,NA,5,1,45
"450",3,333.333333333333,27,50.5,5,2,45
"451",0,Inf,NA,NA,1,1,46
"452",5,200,20,24,1,2,46
"453",5,200,15,18,2,1,46
"454",145,6.89655172413793,11,28,2,2,46
"455",1,1000,20,21.5,3,1,46
"456",16,62.5,18,26,3,2,46
"457",0,Inf,NA,NA,4,1,46
"458",1,1000,19,19,4,2,46
"459",0,Inf,NA,NA,5,1,46
"460",1,1000,38,41.5,5,2,46
"461",1,1000,32,37,1,1,47
"462",2,500,21,39,1,2,47
"463",4,250,16,21,2,1,47
"464",152,6.57894736842105,12,28,2,2,47
"465",3,333.333333333333,26,37,3,1,47
"466",10,100,20,25.5,3,2,47
"467",0,Inf,NA,NA,4,1,47
"468",2,500,17,19.5,4,2,47
"469",0,Inf,NA,NA,5,1,47
"470",0,Inf,NA,NA,5,2,47
"471",2,500,22,24,1,1,48
"472",4,250,24,29,1,2,48
"473",7,142.857142857143,13,19,2,1,48
"474",139,7.19424460431655,10,29,2,2,48
"475",0,Inf,NA,NA,3,1,48
"476",18,55.5555555555556,18,26,3,2,48
"477",0,Inf,NA,NA,4,1,48
"478",6,166.666666666667,16,19,4,2,48
"479",0,Inf,NA,NA,5,1,48
"480",3,333.333333333333,23,30,5,2,48
"481",1,1000,21,28,1,1,49
"482",9,111.111111111111,21,31,1,2,49
"483",9,111.111111111111,14,23,2,1,49
"484",141,7.09219858156028,12,29,2,2,49
"485",1,1000,23,25,3,1,49
"486",18,55.5555555555556,17,26.5,3,2,49
"487",0,Inf,NA,NA,4,1,49
"488",2,500,16,20,4,2,49
"489",0,Inf,NA,NA,5,1,49
"490",1,1000,41,41.5,5,2,49
"491",0,Inf,NA,NA,1,1,50
"492",4,250,17,24,1,2,50
"493",6,166.666666666667,13,23,2,1,50
"494",160,6.25,12,28,2,2,50
"495",1,1000,40,41,3,1,50
"496",20,50,16,29,3,2,50
"497",0,Inf,NA,NA,4,1,50
"498",5,200,19,22,4,2,50
"499",0,Inf,NA,NA,5,1,50
"500",3,333.333333333333,34,63,5,2,50
"501",0,Inf,NA,NA,1,1,51
"502",3,333.333333333333,29,34,1,2,51
"503",7,142.857142857143,13,23.5,2,1,51
"504",158,6.32911392405063,11,27,2,2,51
"505",1,1000,37,44.5,3,1,51
"506",16,62.5,12,23,3,2,51
"507",0,Inf,NA,NA,4,1,51
"508",1,1000,15,15.5,4,2,51
"509",0,Inf,NA,NA,5,1,51
"510",2,500,30,36,5,2,51
"511",0,Inf,NA,NA,1,1,52
"512",6,166.666666666667,18,29,1,2,52
"513",8,125,15,25.5,2,1,52
"514",155,6.45161290322581,11,27,2,2,52
"515",0,Inf,NA,NA,3,1,52
"516",18,55.5555555555556,18,25,3,2,52
"517",0,Inf,NA,NA,4,1,52
"518",0,Inf,NA,NA,4,2,52
"519",0,Inf,NA,NA,5,1,52
"520",0,Inf,NA,NA,5,2,52
"521",0,Inf,NA,NA,1,1,53
"522",4,250,17,25,1,2,53
"523",4,250,13,20.5,2,1,53
"524",149,6.71140939597315,12,27,2,2,53
"525",0,Inf,NA,NA,3,1,53
"526",10,100,19,26,3,2,53
"527",0,Inf,NA,NA,4,1,53
"528",5,200,17,21,4,2,53
"529",0,Inf,NA,NA,5,1,53
"530",3,333.333333333333,30,39.5,5,2,53
"531",1,1000,31,31,1,1,54
"532",2,500,31,35,1,2,54
"533",4,250,16,20,2,1,54
"534",151,6.62251655629139,10,28,2,2,54
"535",0,Inf,NA,NA,3,1,54
"536",21,47.6190476190476,15,25,3,2,54
"537",0,Inf,NA,NA,4,1,54
"538",0,Inf,NA,NA,4,2,54
"539",0,Inf,NA,NA,5,1,54
"540",1,1000,41,41,5,2,54
"541",0,Inf,NA,NA,1,1,55
"542",6,166.666666666667,20,45,1,2,55
"543",10,100,13,20,2,1,55
"544",151,6.62251655629139,10,29,2,2,55
"545",1,1000,27,32.5,3,1,55
"546",17,58.8235294117647,13,26,3,2,55
"547",0,Inf,NA,NA,4,1,55
"548",2,500,15,17.5,4,2,55
"549",0,Inf,NA,NA,5,1,55
"550",0,Inf,NA,NA,5,2,55
"551",1,1000,22,26.5,1,1,56
"552",3,333.333333333333,36,51,1,2,56
"553",7,142.857142857143,15,21,2,1,56
"554",180,5.55555555555556,11,28,2,2,56
"555",1,1000,23,26.5,3,1,56
"556",19,52.6315789473684,14,27,3,2,56
"557",0,Inf,NA,NA,4,1,56
"558",1,1000,19,20.5,4,2,56
"559",0,Inf,NA,NA,5,1,56
"560",4,250,26,35,5,2,56
"561",2,500,27,33.5,1,1,57
"562",5,200,21,35,1,2,57
"563",6,166.666666666667,16,22,2,1,57
"564",141,7.09219858156028,11,29,2,2,57
"565",0,Inf,NA,NA,3,1,57
"566",18,55.5555555555556,18,24,3,2,57
"567",0,Inf,NA,NA,4,1,57
"568",1,1000,17,18.5,4,2,57
"569",0,Inf,NA,NA,5,1,57
"570",3,333.333333333333,26,47.5,5,2,57
"571",1,1000,30,30,1,1,58
"572",2,500,24,28,1,2,58
"573",5,200,16,23.5,2,1,58
"574",148,6.75675675675676,12,30,2,2,58
"575",0,Inf,NA,NA,3,1,58
"576",15,66.6666666666667,14,26,3,2,58
"577",0,Inf,NA,NA,4,1,58
"578",7,142.857142857143,13,19.5,4,2,58
"579",1,1000,34,41,5,1,58
"580",3,333.333333333333,32,38.5,5,2,58
"581",1,1000,35,37,1,1,59
"582",2,500,22,42,1,2,59
"583",5,200,12,23,2,1,59
"584",148,6.75675675675676,12,28,2,2,59
"585",0,Inf,NA,NA,3,1,59
"586",17,58.8235294117647,15,26,3,2,59
"587",0,Inf,NA,NA,4,1,59
"588",5,200,15,21.5,4,2,59
"589",0,Inf,NA,NA,5,1,59
"590",2,500,35,42,5,2,59
"591",1,1000,22,26.5,1,1,60
"592",3,333.333333333333,17,38,1,2,60
"593",5,200,15,20,2,1,60
"594",152,6.57894736842105,11,29,2,2,60
"595",1,1000,28,30,3,1,60
"596",18,55.5555555555556,16,27,3,2,60
"597",0,Inf,NA,NA,4,1,60
"598",2,500,14,17,4,2,60
"599",1,1000,31,35,5,1,60
"600",3,333.333333333333,32,42.5,5,2,60
"601",1,1000,35,38,1,1,61
"602",5,200,21,47,1,2,61
"603",8,125,15,23,2,1,61
"604",145,6.89655172413793,10,29,2,2,61
"605",0,Inf,NA,NA,3,1,61
"606",18,55.5555555555556,15,24,3,2,61
"607",0,Inf,NA,NA,4,1,61
"608",1,1000,16,16.5,4,2,61
"609",0,Inf,NA,NA,5,1,61
"610",3,333.333333333333,29,48,5,2,61
"611",0,Inf,NA,NA,1,1,62
"612",6,166.666666666667,20,36,1,2,62
"613",6,166.666666666667,13,22,2,1,62
"614",156,6.41025641025641,11,27,2,2,62
"615",1,1000,31,33.5,3,1,62
"616",22,45.4545454545455,14,25,3,2,62
"617",0,Inf,NA,NA,4,1,62
"618",1,1000,17,18,4,2,62
"619",0,Inf,NA,NA,5,1,62
"620",0,Inf,NA,NA,5,2,62
"621",1,1000,31,32.5,1,1,63
"622",5,200,21,39,1,2,63
"623",5,200,16,20,2,1,63
"624",157,6.36942675159236,12,30,2,2,63
"625",0,Inf,NA,NA,3,1,63
"626",15,66.6666666666667,14,25,3,2,63
